0,9000
1,8860
2,8910
3,9030
4,9090
5,9230
6,9130
7,9290
8,9410
9,9420
10,9310
11,9170
12,9030
13,8930
14,8830
15,8740
16,8590
17,8600
18,8600
19,8640
20,8480
21,8420
22,8480
23,8540
24,8580
25,8450
26,8450
27,8570
28,8560
29,8690
30,8590
31,8430
32,8520
33,8400
34,8350
35,8300
36,8280
37,8140
38,8250
39,8360
40,8240
41,8100
42,8170
43,8170
44,8330
45,8200
46,8070
47,7980
48,8030
49,7890
50,7910
51,7930
52,7870
53,7920
54,7850
55,7950
56,7910
57,7940
58,7940
59,7790
60,7790
61,7900
62,7800
63,7720
64,7700
65,7840
66,7700
67,7620
68,7740
69,7730
70,7610
71,7500
72,7640
73,7640
74,7680
75,7800
76,7800
77,7680
78,7790
79,7780
80,7810
81,7790
82,7720
83,7800
84,7760
85,7790
86,7900
87,7770
88,7760
89,7720
90,7610
91,7610
92,7670
93,7750
94,7790
95,7640
96,7690
97,7660
98,7580
99,7480
100,7390
